"","Name","Proportion","Abundance","genomeSize","sample","numReads","numUniqueReads","taxID","hitratio"
"1","Homo sapiens",7.97897754419494,7,3238442024,"POV_GD.Spr.C.8m_reads",682,501,9606,0.734604105571848
"2","Pseudoalteromonas issachenkonii",1.35371874502309,4,4131541,"POV_GD.Spr.C.8m_reads",369,85,152297,0.230352303523035
"3","Pseudoalteromonas sp. SM9913",2.70743749004619,5,4037671,"POV_GD.Spr.C.8m_reads",456,170,234831,0.37280701754386
"4","Pseudoalteromonas sp. Bsw20308",5.78117534639274,4,4830226,"POV_GD.Spr.C.8m_reads",394,363,283699,0.921319796954315
"5","Prochlorococcus phage P-GSP1",2.67558528428094,2,44945,"POV_GD.Spr.C.8m_reads",169,168,382262,0.994082840236686
"6","Synechococcus phage S-SM2",4.90523968784838,3,190789,"POV_GD.Spr.C.8m_reads",328,308,444860,0.939024390243902
"7","Synechococcus phage S-RIP2",1.38557095078834,2,45728,"POV_GD.Spr.C.8m_reads",232,87,754040,0.375
"8","Synechococcus phage S-RIP1",3.74263417741679,3,44892,"POV_GD.Spr.C.8m_reads",238,235,754041,0.987394957983193
"9","Synechococcus phage S-SKS1",2.03854116897595,2,208007,"POV_GD.Spr.C.8m_reads",144,128,754042,0.888888888888889
"10","Cyanophage KBS-P-1A",1.81557572861921,3,45730,"POV_GD.Spr.C.8m_reads",261,114,889951,0.436781609195402
"11","Puniceispirillum phage HMO-2011",2.34113712374582,2,55282,"POV_GD.Spr.C.8m_reads",147,147,948071,1
"12","Pseudoalteromonas haloplanktis",1.05237981344176,2,3850272,"POV_GF.Spr.C.9m_reads",127,44,228,0.346456692913386
"13","Homo sapiens",11.5283425017938,11,3238442024,"POV_GF.Spr.C.9m_reads",687,482,9606,0.701601164483261
"14","Pseudoalteromonas issachenkonii",1.21980387467113,4,4131541,"POV_GF.Spr.C.9m_reads",228,51,152297,0.223684210526316
"15","Pseudoalteromonas translucida",1.1719684286056,2,4147593,"POV_GF.Spr.C.9m_reads",132,49,166935,0.371212121212121
"16","Pseudoalteromonas sp. SM9913",1.19588615163836,4,4037671,"POV_GF.Spr.C.9m_reads",224,50,234831,0.223214285714286
"17","Pseudoalteromonas sp. Bsw20308",7.58191820138723,6,4830226,"POV_GF.Spr.C.9m_reads",342,317,283699,0.926900584795322
"18","Prochlorococcus phage P-GSP1",2.32001913417843,2,44945,"POV_GF.Spr.C.9m_reads",102,97,382262,0.950980392156863
"19","Synechococcus phage S-SM2",2.72662042573547,2,190789,"POV_GF.Spr.C.9m_reads",122,114,444860,0.934426229508197
"20","Puniceispirillum phage HMO-2011",2.6309495336044,2,55282,"POV_GF.Spr.C.9m_reads",110,110,948071,1
